Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, ,OBPM,DBPM,BPM,VORP,Player-additional
84,Speedy Claxton,PG,23,PHI,67,1528,12.6,.469,.073,.301,3.5,8.4,5.9,21.9,3.4,0.3,15.7,18.2,,0.4,2.4,2.8,.087,,-2.5,2.1,-0.4,0.6,claxtsp01
85,Mateen Cleaves,PG,24,SAC,32,153,8.8,.486,.118,.132,0.7,4.8,2.8,25.9,2.3,0.0,27.3,28.1,,-0.4,0.2,-0.3,-0.082,,-4.9,-2.3,-7.2,-0.2,cleavma01
86,Derrick Coleman,PF,34,PHI,58,2080,16.2,.524,.113,.309,9.2,18.5,13.9,8.5,1.1,1.9,12.5,21.0,,2.7,3.2,5.9,.135,,0.8,0.1,0.9,1.5,colemde01
87,Bimbo Coles,PG,33,CLE,47,693,8.8,.459,.137,.253,2.1,7.2,4.7,23.3,1.0,0.4,16.0,12.8,,0.4,0.0,0.4,.027,,-3.0,-1.6,-4.5,-0.4,colesbi01
88,Jason Collier,C,24,HOU,25,365,11.1,.486,.011,.337,9.6,16.2,12.8,4.1,0.9,0.7,10.6,15.5,,0.3,0.1,0.4,.057,,-3.1,-2.1,-5.2,-0.3,collija02
89,Jarron Collins,C,23,UTA,70,1440,11.5,.532,.003,.528,11.5,13.3,12.4,6.6,1.1,1.2,11.7,15.0,,2.3,1.0,3.3,.111,,-2.1,-1.2,-3.3,-0.5,collija03
90,Jason Collins,C,23,NJN,77,1407,10.7,.500,.007,.590,10.5,13.6,12.0,8.4,1.1,2.4,17.1,13.5,,1.0,2.0,3.0,.104,,-2.6,0.6,-2.1,0.0,collija04
91,Chris Crawford,PF,26,ATL,7,131,11.5,.514,.022,.333,7.8,14.0,10.9,6.7,0.8,2.8,16.2,21.3,,0.0,0.1,0.1,.035,,-3.2,-0.3,-3.6,-0.1,crawfch01
92,Jamal Crawford,PG,21,CHI,23,481,15.3,.555,.310,.070,1.2,7.2,4.1,21.8,2.0,0.8,14.2,21.5,,0.4,0.2,0.6,.055,,1.7,-1.9,-0.2,0.2,crawfja01
93,Joe Crispin,PG,22,TOT,21,156,17.1,.536,.574,.191,1.4,6.6,4.0,27.4,1.7,0.0,11.9,24.0,,0.3,0.1,0.4,.136,,3.8,-0.2,3.6,0.2,crispjo01
93,Joe Crispin,PG,22,LAL,6,27,5.0,.352,.333,.417,0.0,4.0,2.0,10.8,1.9,0.0,6.6,25.2,,-0.1,0.0,0.0,-0.066,,-8.4,-1.6,-10.1,-0.1,crispjo01
93,Joe Crispin,PG,22,PHO,15,129,19.6,.580,.625,.143,1.7,7.1,4.4,30.9,1.6,0.0,13.1,23.8,,0.4,0.1,0.5,.178,,6.4,0.1,6.5,0.3,crispjo01
94,Austin Croshere,PF,26,IND,76,1286,14.3,.518,.324,.254,6.7,18.8,12.9,10.1,1.1,1.6,11.9,19.9,,1.2,1.4,2.6,.098,,0.4,-0.4,0.1,0.7,croshau01
95,John Crotty,PG,32,UTA,41,802,14.5,.599,.332,.317,2.4,8.9,5.6,29.2,1.3,0.1,17.7,16.2,,1.8,0.4,2.2,.129,,1.1,-0.8,0.3,0.5,crottjo01
96,Vonteego Cummings,PG,25,PHI,58,501,11.8,.477,.246,.171,3.2,8.5,5.9,21.6,1.9,0.8,15.2,21.7,,0.0,0.6,0.6,.060,,-1.8,0.3,-1.5,0.1,cummivo01
97,Dell Curry,SG,37,TOR,56,886,12.0,.495,.378,.107,2.9,7.8,5.2,11.9,1.3,0.5,10.1,20.8,,0.6,0.6,1.2,.063,,0.0,-1.0,-1.0,0.2,curryde01
98,Eddy Curry,C,19,CHI,72,1150,14.4,.540,.000,.424,11.0,16.8,13.8,4.0,0.7,3.4,13.4,20.7,,1.0,0.8,1.8,.075,,-2.4,-1.9,-4.4,-0.7,curryed01
99,Michael Curry,SG,33,DET,82,1912,6.2,.521,.094,.330,0.9,9.4,5.2,10.1,1.3,0.4,16.0,9.3,,0.7,1.6,2.3,.057,,-4.6,0.6,-4.0,-0.9,currymi01
100,Samuel Dalembert,C,20,PHI,34,177,13.2,.440,.000,.360,16.2,27.3,21.8,4.8,1.8,5.6,19.5,18.6,,-0.2,0.4,0.3,.072,,-4.4,0.8,-3.6,-0.1,dalemsa01
101,Erick Dampier,C,26,GSW,73,1740,11.3,.484,.000,.440,10.0,13.9,11.9,7.8,0.5,6.5,21.4,17.6,,-0.8,1.1,0.3,.009,,-3.9,0.4,-3.5,-0.7,dampier01
102,Antonio Daniels,SG,26,SAS,82,2175,13.4,.534,.320,.343,1.3,7.8,4.7,17.2,1.2,0.4,9.0,16.6,,3.7,2.3,5.9,.131,,0.2,0.2,0.4,1.3,daniean01
103,Antonio Davis,PF,33,TOR,77,2978,14.8,.497,.001,.372,9.5,19.4,14.3,8.7,1.0,2.1,12.4,19.6,,3.0,3.6,6.5,.105,,-0.5,-0.4,-0.9,0.8,davisan01
104,Baron Davis,PG,22,CHH,82,3318,18.2,.498,.356,.252,3.2,8.8,6.0,37.3,2.8,1.0,14.2,23.9,,4.4,3.8,8.2,.118,,3.3,0.4,3.8,4.8,davisba01
105,Dale Davis,C,32,POR,78,2447,16.6,.551,.000,.366,12.4,20.7,16.5,6.2,1.4,2.6,8.4,13.7,,5.4,3.1,8.5,.168,,1.0,0.1,1.1,1.9,davisda01
